State Name,District Name,Disability,Age Group,Male,Female,Other,Total
Telangana,Nirmal,Mental Illness,'35-60',187,89,,276
Telangana,Nirmal,Thalassemia,'15-35',,,,
Telangana,Nirmal,Thalassemia,'6-15',,,,
Telangana,Nirmal,Thalassemia,'60-80',,,,
Telangana,Nizamabad,Acid Attack Victim,'15-35',,,,
Telangana,Nizamabad,Acid Attack Victim,'60-80',,,,
Telangana,Nizamabad,Autism Spectrum Disorder,'35-60',,,,
Telangana,Nizamabad,Autism Spectrum Disorder,'6-15',,,,
Telangana,Nizamabad,Blindness,'0-6',2,3,,5
Telangana,Nizamabad,Blindness,'15-35',67,61,,128
Telangana,Nizamabad,Blindness,'35-60',179,137,,316
Telangana,Nizamabad,Blindness,'6-15',21,20,,41
Telangana,Nizamabad,Blindness,'60-80',177,139,,316
Telangana,Nizamabad,Blindness,'80+',45,48,,93
Telangana,Nizamabad,Cerebral Palsy,'0-6',,,,
Telangana,Nirmal,Thalassemia,'0-6',,,,
Telangana,Nirmal,Speech and Language Disability,'35-60',,,,
Telangana,Nirmal,Mental Illness,'6-15',1,,,1
Telangana,Nirmal,Mental Illness,'60-80',18,22,,40
Telangana,Nirmal,Mental Illness,'80+',5,1,,6
Telangana,Nirmal,Multiple Disabilities,'0-6',,,,
Telangana,Nirmal,Multiple Disabilities,'15-35',2,2,,4
Telangana,Nirmal,Multiple Disabilities,'35-60',2,,,2
Telangana,Nirmal,Multiple Disabilities,'6-15',,,,
Telangana,Nirmal,Multiple Disabilities,'60-80',,,,
Telangana,Nirmal,Muscular Dystrophy,'0-6',,,,
Telangana,Nirmal,Muscular Dystrophy,'35-60',,,,
Telangana,Nirmal,Muscular Dystrophy,'6-15',,,,
Telangana,Nirmal,Muscular Dystrophy,'60-80',,,,
Telangana,Nirmal,Sickle Cell Disease,'15-35',,,,
Telangana,Nirmal,Sickle Cell Disease,'6-15',,,,
Telangana,Nizamabad,Cerebral Palsy,'15-35',,,,
Telangana,Nizamabad,Cerebral Palsy,'35-60',,,,
Telangana,Nizamabad,Cerebral Palsy,'6-15',,,,
Telangana,Nizamabad,Intellectual Disability,'80+',4,3,,7
Telangana,Nizamabad,Leprosy cured,'15-35',,,,
Telangana,Nizamabad,Leprosy cured,'35-60',,,,
