State Name,District Name,Disability,Age Group,Male,Female,Other,Total
Andaman And Nicobar Islands,South Andamans,Hemophilia,'15-35',2,,,2
Andaman And Nicobar Islands,South Andamans,Cerebral Palsy,'60-80',10,2,,12
Andaman And Nicobar Islands,South Andamans,Cerebral Palsy,'6-15',7,10,,17
Andaman And Nicobar Islands,South Andamans,Cerebral Palsy,'35-60',30,21,,51
Andaman And Nicobar Islands,South Andamans,Cerebral Palsy,'15-35',39,28,,67
Andaman And Nicobar Islands,South Andamans,Cerebral Palsy,'0-6',4,,,4
Andaman And Nicobar Islands,South Andamans,Blindness,'80+',1,1,,2
Andaman And Nicobar Islands,South Andamans,Blindness,'60-80',20,17,,37
Andaman And Nicobar Islands,South Andamans,Blindness,'6-15',6,4,,10
Andaman And Nicobar Islands,South Andamans,Blindness,'35-60',71,71,,142
Andaman And Nicobar Islands,South Andamans,Blindness,'15-35',36,26,,62
Andaman And Nicobar Islands,South Andamans,Blindness,'0-6',1,,,1
Andaman And Nicobar Islands,South Andamans,Cerebral Palsy,'80+',1,,,1
Andaman And Nicobar Islands,South Andamans,Chronic Neurological Conditions,'15-35',6,2,,8
Andaman And Nicobar Islands,South Andamans,Chronic Neurological Conditions,'35-60',8,6,,14
Andaman And Nicobar Islands,South Andamans,Hemophilia,'0-6',1,,,1
Andaman And Nicobar Islands,South Andamans,Hearing Impairment,'80+',8,3,,11
Andaman And Nicobar Islands,South Andamans,Hearing Impairment,'60-80',80,32,,112
Andaman And Nicobar Islands,South Andamans,Hearing Impairment,'6-15',19,9,,28
Andaman And Nicobar Islands,South Andamans,Hearing Impairment,'35-60',123,94,,217
Andaman And Nicobar Islands,South Andamans,Hearing Impairment,'15-35',72,62,,134
Andaman And Nicobar Islands,South Andamans,Hearing Impairment,'0-6',,3,,3
Andaman And Nicobar Islands,South Andamans,Dwarfism,'60-80',,1,,1
Andaman And Nicobar Islands,South Andamans,Dwarfism,'35-60',7,3,,10
Andaman And Nicobar Islands,South Andamans,Dwarfism,'15-35',6,5,,11
Andaman And Nicobar Islands,South Andamans,Chronic Neurological Conditions,'60-80',4,2,,6
Andaman And Nicobar Islands,South Andamans,Autism Spectrum Disorder,'6-15',21,6,,27
Andaman And Nicobar Islands,South Andamans,Autism Spectrum Disorder,'35-60',,1,,1
Andaman And Nicobar Islands,North And Middle Andaman,Specific Learning Disabilities,'15-35',,,,
Andaman And Nicobar Islands,North And Middle Andaman,Sickle Cell Disease,'6-15',,,,
Andaman And Nicobar Islands,North And Middle Andaman,Sickle Cell Disease,'35-60',,1,,1
Andaman And Nicobar Islands,North And Middle Andaman,Sickle Cell Disease,'15-35',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Parkinson's Disease,'35-60',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Parkinson's Disease,'15-35',,,,
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,'80+',,,,
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,'60-80',5,1,,6
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,'6-15',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,'35-60',25,13,,38
Andaman And Nicobar Islands,North And Middle Andaman,Muscular Dystrophy,'15-35',16,6,,22
Andaman And Nicobar Islands,North And Middle Andaman,Specific Learning Disabilities,'35-60',1,1,,2
Andaman And Nicobar Islands,North And Middle Andaman,Speech and Language Disability,'0-6',,1,,1
Andaman And Nicobar Islands,North And Middle Andaman,Speech and Language Disability,'15-35',17,15,,32
Andaman And Nicobar Islands,South Andamans,Autism Spectrum Disorder,'15-35',3,1,,4
Andaman And Nicobar Islands,South Andamans,Autism Spectrum Disorder,'0-6',6,,,6
Andaman And Nicobar Islands,South Andamans,Acid Attack Victim,'60-80',2,,,2
Andaman And Nicobar Islands,South Andamans,Acid Attack Victim,'35-60',1,1,,2
Andaman And Nicobar Islands,South Andamans,Acid Attack Victim,'15-35',1,1,,2
Andaman And Nicobar Islands,North And Middle Andaman,Thalassemia,'6-15',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Thalassemia,'35-60',,1,,1
Andaman And Nicobar Islands,North And Middle Andaman,Thalassemia,'15-35',3,,,3
Andaman And Nicobar Islands,North And Middle Andaman,Speech and Language Disability,'60-80',3,,,3
Andaman And Nicobar Islands,North And Middle Andaman,Speech and Language Disability,'6-15',6,2,,8
Andaman And Nicobar Islands,North And Middle Andaman,Speech and Language Disability,'35-60',13,6,,19
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Sclerosis,'35-60',2,,,2
Andaman And Nicobar Islands,South Andamans,Hemophilia,'35-60',3,1,,4
Andaman And Nicobar Islands,North And Middle Andaman,Multiple Sclerosis,'15-35',1,,,1
Andaman And Nicobar Islands,South Andamans,Muscular Dystrophy,'80+',1,,,1
Andaman And Nicobar Islands,South Andamans,Muscular Dystrophy,'60-80',11,5,,16
Andaman And Nicobar Islands,South Andamans,Muscular Dystrophy,'6-15',2,,,2
Andaman And Nicobar Islands,South Andamans,Muscular Dystrophy,'35-60',31,19,,50
Andaman And Nicobar Islands,South Andamans,Muscular Dystrophy,'15-35',18,8,,26
Andaman And Nicobar Islands,South Andamans,Muscular Dystrophy,'0-6',,,,
Andaman And Nicobar Islands,South Andamans,Multiple Sclerosis,'35-60',2,3,,5
Andaman And Nicobar Islands,South Andamans,Multiple Sclerosis,'15-35',,,,
Andaman And Nicobar Islands,South Andamans,Multiple Disabilities,'80+',1,,,1
Andaman And Nicobar Islands,South Andamans,Multiple Disabilities,'60-80',2,3,,5
Andaman And Nicobar Islands,South Andamans,Multiple Disabilities,'6-15',17,6,,23
Andaman And Nicobar Islands,South Andamans,Parkinson's Disease,'15-35',1,,,1
Andaman And Nicobar Islands,South Andamans,Parkinson's Disease,'35-60',1,1,,2
Andaman And Nicobar Islands,South Andamans,Sickle Cell Disease,'15-35',,1,,1
Andaman And Nicobar Islands,South Andamans,Thalassemia,'6-15',1,,,1
Andaman And Nicobar Islands,South Andamans,Thalassemia,'15-35',2,1,,3
Andaman And Nicobar Islands,South Andamans,Thalassemia,'0-6',1,,,1
Andaman And Nicobar Islands,South Andamans,Speech and Language Disability,'60-80',2,1,,3
Andaman And Nicobar Islands,South Andamans,Speech and Language Disability,'6-15',7,6,,13
Andaman And Nicobar Islands,South Andamans,Speech and Language Disability,'35-60',22,9,,31
Andaman And Nicobar Islands,South Andamans,Speech and Language Disability,'15-35',14,8,,22
Andaman And Nicobar Islands,South Andamans,Speech and Language Disability,'0-6',,,,
Andaman And Nicobar Islands,South Andamans,Specific Learning Disabilities,'6-15',,1,,1
Andaman And Nicobar Islands,South Andamans,Specific Learning Disabilities,'15-35',2,,,2
Andaman And Nicobar Islands,South Andamans,Sickle Cell Disease,'60-80',,1,,1
Andaman And Nicobar Islands,South Andamans,Multiple Disabilities,'35-60',22,17,,39
Andaman And Nicobar Islands,South Andamans,Multiple Disabilities,'15-35',27,17,,44
Andaman And Nicobar Islands,South Andamans,Locomotor Disability,'15-35',188,99,,287
Andaman And Nicobar Islands,South Andamans,Locomotor Disability,'0-6',5,6,,11
Andaman And Nicobar Islands,South Andamans,Leprosy cured,'60-80',1,,,1
Andaman And Nicobar Islands,South Andamans,Leprosy cured,'35-60',2,,,2
Andaman And Nicobar Islands,South Andamans,Intellectual Disability,'60-80',,1,,1
Andaman And Nicobar Islands,South Andamans,Intellectual Disability,'6-15',111,46,,157
Andaman And Nicobar Islands,South Andamans,Intellectual Disability,'35-60',50,44,,94
Andaman And Nicobar Islands,South Andamans,Intellectual Disability,'15-35',171,114,,285
Andaman And Nicobar Islands,South Andamans,Intellectual Disability,'0-6',8,11,,19
Andaman And Nicobar Islands,South Andamans,Hemophilia,'80+',1,,,1
Andaman And Nicobar Islands,South Andamans,Hemophilia,'60-80',1,,,1
Andaman And Nicobar Islands,South Andamans,Locomotor Disability,'35-60',569,262,,831
Andaman And Nicobar Islands,South Andamans,Locomotor Disability,'6-15',31,19,,50
Andaman And Nicobar Islands,South Andamans,Locomotor Disability,'60-80',207,61,,268
Andaman And Nicobar Islands,South Andamans,Multiple Disabilities,'0-6',2,5,,7
Andaman And Nicobar Islands,South Andamans,Mental Illness,'60-80',4,6,,10
Andaman And Nicobar Islands,South Andamans,Mental Illness,'6-15',51,39,1,91
Andaman And Nicobar Islands,South Andamans,Mental Illness,'35-60',92,76,,168
Andaman And Nicobar Islands,South Andamans,Thalassemia,'35-60',1,2,,3
Andaman And Nicobar Islands,South Andamans,Mental Illness,'0-6',,,,
Andaman And Nicobar Islands,South Andamans,Low Vision,'60-80',5,2,,7
Andaman And Nicobar Islands,South Andamans,Low Vision,'6-15',1,1,,2
Andaman And Nicobar Islands,South Andamans,Low Vision,'15-35',15,8,,23
Andaman And Nicobar Islands,South Andamans,Low Vision,'0-6',,,,
Andaman And Nicobar Islands,South Andamans,Locomotor Disability,'80+',9,4,,13
Andaman And Nicobar Islands,South Andamans,Hemophilia,'6-15',1,,,1
Andaman And Nicobar Islands,North And Middle Andaman,Blindness,'0-6',1,,,1
Andaman And Nicobar Islands,Nicobars,Multiple Disabilities,'15-35',3,2,,5
Andaman And Nicobar Islands,Nicobars,Mental Illness,'60-80',,1,,1
Andaman And Nicobar Islands,Nicobars,Mental Illness,'6-15',3,4,,7
Andaman And Nicobar Islands,Nicobars,Mental Illness,'35-60',10,6,,16
Andaman And Nicobar Islands,Nicobars,Mental Illness,'15-35',14,16,,30
Andaman And Nicobar Islands,Nicobars,Low Vision,'6-15',2,1,,3
Andaman And Nicobar Islands,Nicobars,Low Vision,'35-60',4,4,,8
Andaman And Nicobar Islands,Nicobars,Low Vision,'15-35',2,,,2
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,'80+',2,2,,4
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,'60-80',22,5,,27
Andaman And Nicobar Islands,Nicobars,Locomotor Disability,'6-15',6,2,,8
Andaman And Nicobar Islands,Nicobars,Multiple Disabilities,'35-60',2,2,,4
Andaman And Nicobar Islands,Nicobars,Multiple Disabilities,'6-15',1,1,,2
Andaman And Nicobar Islands,Nicobars,Multiple Disabilities,'80+',,1,,1
Andaman And Nicobar Islands,North And Middle Andaman,Autism Spectrum Disorder,'6-15',7,7,,14
Andaman And Nicobar Islands,North And Middle Andaman,Autism Spectrum Disorder,'15-35',2,1,,3
Andaman And Nicobar Islands,North And Middle Andaman,Acid Attack Victim,'35-60',1,,,1
Andaman And Nicobar Islands,Nicobars,Speech and Language Disability,'6-15',,,,
Andaman And Nicobar Islands,Nicobars,Speech and Language Disability,'35-60',2,2,,4
Andaman And Nicobar Islands,Nicobars,Speech and Language Disability,'15-35',3,5,,8
Andaman And Nicobar Islands,Nicobars,Speech and Language Disability,'0-6',,,,
Andaman And Nicobar Islands,Nicobars,Muscular Dystrophy,'60-80',2,1,,3
Andaman And Nicobar Islands,Nicobars,Muscular Dystrophy,'35-60',2,,,2
Andaman And Nicobar Islands,Nicobars,Muscular Dystrophy,'15-35',1,,,1
